Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.1; 18; 19; Alg1; 998; 2; 0
0.1; 18; 19; LeeShin2014; 487; 0; 513
0.2; 18; 19; Alg1; 719; 281; 0
0.2; 18; 19; LeeShin2014; 5; 0; 995
0.3; 18; 19; Alg1; 265; 735; 0
0.3; 18; 19; LeeShin2014; 0; 0; 1000
0.4; 18; 19; Alg1; 88; 912; 0
0.4; 18; 19; LeeShin2014; 0; 0; 1000
0.5; 18; 19; Alg1; 32; 968; 0
0.5; 18; 19; LeeShin2014; 0; 0; 1000
0.6; 18; 19; Alg1; 13; 987; 0
0.6; 18; 19; LeeShin2014; 0; 0; 1000
0.7; 18; 19; Alg1; 5; 995; 0
0.7; 18; 19; LeeShin2014; 0; 0; 1000
0.8; 18; 19; Alg1; 5; 995; 0
0.8; 18; 19; LeeShin2014; 0; 0; 1000
0.9; 18; 19; Alg1; 5; 995; 0
0.9; 18; 19; LeeShin2014; 0; 0; 1000
0.1; 19; 20; Alg1; 1000; 0; 0
0.1; 19; 20; LeeShin2014; 466; 0; 534
0.2; 19; 20; Alg1; 700; 300; 0
0.2; 19; 20; LeeShin2014; 5; 0; 995
0.3; 19; 20; Alg1; 256; 744; 0
0.3; 19; 20; LeeShin2014; 0; 0; 1000
0.4; 19; 20; Alg1; 84; 916; 0
0.4; 19; 20; LeeShin2014; 0; 0; 1000
0.5; 19; 20; Alg1; 22; 978; 0
0.5; 19; 20; LeeShin2014; 0; 0; 1000
0.6; 19; 20; Alg1; 8; 992; 0
0.6; 19; 20; LeeShin2014; 0; 0; 1000
0.7; 19; 20; Alg1; 5; 995; 0
0.7; 19; 20; LeeShin2014; 0; 0; 1000
0.8; 19; 20; Alg1; 4; 996; 0
0.8; 19; 20; LeeShin2014; 0; 0; 1000
0.9; 19; 20; Alg1; 1; 999; 0
0.9; 19; 20; LeeShin2014; 0; 0; 1000
0.1; 20; 21; Alg1; 999; 1; 0
0.1; 20; 21; LeeShin2014; 449; 0; 551
0.2; 20; 21; Alg1; 653; 347; 0
0.2; 20; 21; LeeShin2014; 4; 0; 996
0.3; 20; 21; Alg1; 252; 748; 0
0.3; 20; 21; LeeShin2014; 0; 0; 1000
0.4; 20; 21; Alg1; 73; 927; 0
0.4; 20; 21; LeeShin2014; 0; 0; 1000
0.5; 20; 21; Alg1; 22; 978; 0
0.5; 20; 21; LeeShin2014; 0; 0; 1000
0.6; 20; 21; Alg1; 7; 993; 0
0.6; 20; 21; LeeShin2014; 0; 0; 1000
0.7; 20; 21; Alg1; 2; 998; 0
0.7; 20; 21; LeeShin2014; 0; 0; 1000
0.8; 20; 21; Alg1; 2; 998; 0
0.8; 20; 21; LeeShin2014; 0; 0; 1000
0.9; 20; 21; Alg1; 2; 998; 0
0.9; 20; 21; LeeShin2014; 0; 0; 1000
0.1; 21; 22; Alg1; 995; 5; 0
0.1; 21; 22; LeeShin2014; 437; 0; 563
0.2; 21; 22; Alg1; 621; 379; 0
0.2; 21; 22; LeeShin2014; 0; 0; 1000
0.3; 21; 22; Alg1; 196; 804; 0
0.3; 21; 22; LeeShin2014; 0; 0; 1000
0.4; 21; 22; Alg1; 60; 940; 0
0.4; 21; 22; LeeShin2014; 0; 0; 1000
0.5; 21; 22; Alg1; 10; 990; 0
0.5; 21; 22; LeeShin2014; 0; 0; 1000
0.6; 21; 22; Alg1; 4; 996; 0
0.6; 21; 22; LeeShin2014; 0; 0; 1000
0.7; 21; 22; Alg1; 0; 1000; 0
0.7; 21; 22; LeeShin2014; 0; 0; 1000
0.8; 21; 22; Alg1; 0; 1000; 0
0.8; 21; 22; LeeShin2014; 0; 0; 1000
0.9; 21; 22; Alg1; 1; 999; 0
0.9; 21; 22; LeeShin2014; 0; 0; 1000
